date,time,Reconstructed_Total
25-09-2024,13:05 - 13:10,211
25-09-2024,13:10 - 13:15,221
25-09-2024,13:15 - 13:20,224
25-09-2024,13:20 - 13:25,221
25-09-2024,13:25 - 13:30,215
25-09-2024,13:30 - 13:35,210
25-09-2024,13:35 - 13:40,206
25-09-2024,13:40 - 13:45,204
25-09-2024,13:45 - 13:50,202
25-09-2024,13:50 - 13:55,199
25-09-2024,13:55 - 14:00,195
25-09-2024,14:00 - 14:05,189
25-09-2024,14:05 - 14:10,179
25-09-2024,14:10 - 14:15,169
25-09-2024,14:15 - 14:20,174
25-09-2024,14:20 - 14:25,191
25-09-2024,14:25 - 14:30,205
25-09-2024,14:30 - 14:35,191
25-09-2024,14:35 - 14:40,170
25-09-2024,14:40 - 14:45,173
25-09-2024,14:45 - 14:50,184
25-09-2024,14:50 - 14:55,180
25-09-2024,14:55 - 15:00,170
26-09-2024,06:00 - 06:05,144
26-09-2024,06:05 - 06:10,142
26-09-2024,06:10 - 06:15,139
26-09-2024,06:15 - 06:20,137
26-09-2024,06:20 - 06:25,138
26-09-2024,06:25 - 06:30,144
26-09-2024,06:30 - 06:35,153
26-09-2024,06:35 - 06:40,167
26-09-2024,06:40 - 06:45,183
26-09-2024,06:45 - 06:50,196
26-09-2024,06:50 - 06:55,203
26-09-2024,06:55 - 07:00,205
26-09-2024,07:00 - 07:05,206
26-09-2024,07:05 - 07:10,216
26-09-2024,07:10 - 07:15,236
26-09-2024,07:15 - 07:20,248
26-09-2024,07:20 - 07:25,244
26-09-2024,07:25 - 07:30,236
26-09-2024,07:30 - 07:35,240
26-09-2024,07:35 - 07:40,253
26-09-2024,07:40 - 07:45,263
26-09-2024,07:45 - 07:50,260
26-09-2024,07:50 - 07:55,244
26-09-2024,07:55 - 08:00,222
26-09-2024,08:00 - 08:05,198
26-09-2024,08:05 - 08:10,181
26-09-2024,08:10 - 08:15,180
26-09-2024,08:15 - 08:20,199
26-09-2024,08:20 - 08:25,222
26-09-2024,08:25 - 08:30,224
26-09-2024,08:30 - 08:35,209
26-09-2024,08:35 - 08:40,197
26-09-2024,08:40 - 08:45,206
26-09-2024,08:45 - 08:50,227
26-09-2024,08:50 - 08:55,234
26-09-2024,08:55 - 09:00,219
26-09-2024,09:00 - 09:05,195
26-09-2024,09:05 - 09:10,180
26-09-2024,09:10 - 09:15,180
26-09-2024,09:15 - 09:20,185
26-09-2024,09:20 - 09:25,183
26-09-2024,09:25 - 09:30,167
26-09-2024,09:30 - 09:35,150
26-09-2024,09:35 - 09:40,146
26-09-2024,09:40 - 09:45,150
26-09-2024,09:45 - 09:50,152
26-09-2024,09:50 - 09:55,149
26-09-2024,09:55 - 10:00,140
26-09-2024,10:00 - 10:05,136
26-09-2024,10:05 - 10:10,139
26-09-2024,10:10 - 10:15,140
26-09-2024,10:15 - 10:20,139
26-09-2024,10:20 - 10:25,138
26-09-2024,10:25 - 10:30,136
26-09-2024,10:30 - 10:35,136
26-09-2024,10:35 - 10:40,144
26-09-2024,10:40 - 10:45,148
26-09-2024,10:45 - 10:50,143
26-09-2024,10:50 - 10:55,142
26-09-2024,10:55 - 11:00,152
26-09-2024,11:00 - 11:05,158
26-09-2024,11:05 - 11:10,149
26-09-2024,11:10 - 11:15,134
26-09-2024,11:15 - 11:20,127
26-09-2024,11:20 - 11:25,145
26-09-2024,11:25 - 11:30,176
26-09-2024,11:30 - 11:35,198
26-09-2024,11:35 - 11:40,193
26-09-2024,11:40 - 11:45,174
26-09-2024,11:45 - 11:50,158
26-09-2024,11:50 - 11:55,159
26-09-2024,11:55 - 12:00,177
26-09-2024,12:00 - 12:05,190
26-09-2024,12:05 - 12:10,188
26-09-2024,12:10 - 12:15,185
26-09-2024,12:15 - 12:20,185
26-09-2024,12:20 - 12:25,187
26-09-2024,12:25 - 12:30,188
26-09-2024,12:30 - 12:35,189
26-09-2024,12:35 - 12:40,196
26-09-2024,12:40 - 12:45,208
26-09-2024,12:45 - 12:50,214
26-09-2024,12:50 - 12:55,217
26-09-2024,12:55 - 13:00,220
26-09-2024,13:00 - 13:05,229
26-09-2024,13:05 - 13:10,242
26-09-2024,13:10 - 13:15,250
26-09-2024,13:15 - 13:20,244
26-09-2024,13:20 - 13:25,238
26-09-2024,13:25 - 13:30,253
26-09-2024,13:30 - 13:35,268
26-09-2024,13:35 - 13:40,261
26-09-2024,13:40 - 13:45,239
26-09-2024,13:45 - 13:50,217
26-09-2024,13:50 - 13:55,212
26-09-2024,13:55 - 14:00,224
26-09-2024,14:00 - 14:05,229
26-09-2024,14:05 - 14:10,218
26-09-2024,14:10 - 14:15,204
26-09-2024,14:15 - 14:20,198
26-09-2024,14:20 - 14:25,202
26-09-2024,14:25 - 14:30,214
26-09-2024,14:30 - 14:35,225
26-09-2024,14:35 - 14:40,226
26-09-2024,14:40 - 14:45,208
26-09-2024,14:45 - 14:50,182
26-09-2024,14:50 - 14:55,169
26-09-2024,14:55 - 15:00,169
27-09-2024,06:00 - 06:05,174
27-09-2024,06:05 - 06:10,161
27-09-2024,06:10 - 06:15,178
27-09-2024,06:15 - 06:20,207
27-09-2024,06:20 - 06:25,224
27-09-2024,06:25 - 06:30,222
27-09-2024,06:30 - 06:35,207
27-09-2024,06:35 - 06:40,188
27-09-2024,06:40 - 06:45,176
27-09-2024,06:45 - 06:50,173
27-09-2024,06:50 - 06:55,174
27-09-2024,06:55 - 07:00,175
27-09-2024,07:00 - 07:05,174
27-09-2024,07:05 - 07:10,176
27-09-2024,07:10 - 07:15,185
27-09-2024,07:15 - 07:20,195
27-09-2024,07:20 - 07:25,200
27-09-2024,07:25 - 07:30,194
27-09-2024,07:30 - 07:35,188
27-09-2024,07:35 - 07:40,195
27-09-2024,07:40 - 07:45,205
27-09-2024,07:45 - 07:50,206
27-09-2024,07:50 - 07:55,200
27-09-2024,07:55 - 08:00,192
27-09-2024,08:00 - 08:05,189
27-09-2024,08:05 - 08:10,194
27-09-2024,08:10 - 08:15,195
27-09-2024,08:15 - 08:20,185
27-09-2024,08:20 - 08:25,175
27-09-2024,08:25 - 08:30,170
27-09-2024,08:30 - 08:35,173
27-09-2024,08:35 - 08:40,182
27-09-2024,08:40 - 08:45,196
27-09-2024,08:45 - 08:50,210
27-09-2024,08:50 - 08:55,219
27-09-2024,08:55 - 09:00,223
27-09-2024,09:00 - 09:05,220
27-09-2024,09:05 - 09:10,212
27-09-2024,09:10 - 09:15,205
27-09-2024,09:15 - 09:20,203
27-09-2024,09:20 - 09:25,206
27-09-2024,09:25 - 09:30,211
27-09-2024,09:30 - 09:35,218
27-09-2024,09:35 - 09:40,222
27-09-2024,09:40 - 09:45,223
27-09-2024,09:45 - 09:50,212
27-09-2024,09:50 - 09:55,196
27-09-2024,09:55 - 10:00,186
27-09-2024,10:00 - 10:05,194
27-09-2024,10:05 - 10:10,211
27-09-2024,10:10 - 10:15,215
27-09-2024,10:15 - 10:20,207
27-09-2024,10:20 - 10:25,191
27-09-2024,10:25 - 10:30,183
27-09-2024,10:30 - 10:35,187
27-09-2024,10:35 - 10:40,193
27-09-2024,10:40 - 10:45,204
27-09-2024,10:45 - 10:50,224
27-09-2024,10:50 - 10:55,240
27-09-2024,10:55 - 11:00,245
27-09-2024,11:00 - 11:05,246
27-09-2024,11:05 - 11:10,249
27-09-2024,11:10 - 11:15,250
27-09-2024,11:15 - 11:20,244
27-09-2024,11:20 - 11:25,228
27-09-2024,11:25 - 11:30,215
27-09-2024,11:30 - 11:35,214
27-09-2024,11:35 - 11:40,220
27-09-2024,11:40 - 11:45,225
27-09-2024,11:45 - 11:50,228
27-09-2024,11:50 - 11:55,232
27-09-2024,11:55 - 12:00,242
27-09-2024,12:00 - 12:05,251
27-09-2024,12:05 - 12:10,252
27-09-2024,12:10 - 12:15,239
27-09-2024,12:15 - 12:20,221
27-09-2024,12:20 - 12:25,209
27-09-2024,12:25 - 12:30,216
27-09-2024,12:30 - 12:35,229
27-09-2024,12:35 - 12:40,227
27-09-2024,12:40 - 12:45,208
27-09-2024,12:45 - 12:50,187
27-09-2024,12:50 - 12:55,185
27-09-2024,12:55 - 13:00,212
27-09-2024,13:00 - 13:05,233
27-09-2024,13:05 - 13:10,208
27-09-2024,13:10 - 13:15,162
27-09-2024,13:15 - 13:20,143
27-09-2024,13:20 - 13:25,153
27-09-2024,13:25 - 13:30,165
27-09-2024,13:30 - 13:35,164
27-09-2024,13:35 - 13:40,158
27-09-2024,13:40 - 13:45,168
27-09-2024,13:45 - 13:50,184
27-09-2024,13:50 - 13:55,190
27-09-2024,13:55 - 14:00,187
27-09-2024,14:00 - 14:05,186
27-09-2024,14:05 - 14:10,192
27-09-2024,14:10 - 14:15,205
27-09-2024,14:15 - 14:20,210
27-09-2024,14:20 - 14:25,201
27-09-2024,14:25 - 14:30,189
27-09-2024,14:30 - 14:35,182
27-09-2024,14:35 - 14:40,179
27-09-2024,14:40 - 14:45,181
27-09-2024,14:45 - 14:50,186
27-09-2024,14:50 - 14:55,194
27-09-2024,14:55 - 15:00,201
28-09-2024,06:00 - 06:05,136
28-09-2024,06:05 - 06:10,137
28-09-2024,06:10 - 06:15,136
28-09-2024,06:15 - 06:20,134
28-09-2024,06:20 - 06:25,134
28-09-2024,06:25 - 06:30,140
28-09-2024,06:30 - 06:35,158
28-09-2024,06:35 - 06:40,180
28-09-2024,06:40 - 06:45,192
28-09-2024,06:45 - 06:50,188
28-09-2024,06:50 - 06:55,179
28-09-2024,06:55 - 07:00,178
28-09-2024,07:00 - 07:05,183
28-09-2024,07:05 - 07:10,191
28-09-2024,07:10 - 07:15,197
28-09-2024,07:15 - 07:20,204
28-09-2024,07:20 - 07:25,216
28-09-2024,07:25 - 07:30,239
28-09-2024,07:30 - 07:35,273
28-09-2024,07:35 - 07:40,297
28-09-2024,07:40 - 07:45,292
28-09-2024,07:45 - 07:50,263
28-09-2024,07:50 - 07:55,231
28-09-2024,07:55 - 08:00,212
28-09-2024,08:00 - 08:05,207
28-09-2024,08:05 - 08:10,208
28-09-2024,08:10 - 08:15,210
28-09-2024,08:15 - 08:20,213
28-09-2024,08:20 - 08:25,217
28-09-2024,08:25 - 08:30,223
28-09-2024,08:30 - 08:35,228
28-09-2024,08:35 - 08:40,230
28-09-2024,08:40 - 08:45,228
28-09-2024,08:45 - 08:50,224
28-09-2024,08:50 - 08:55,219
28-09-2024,08:55 - 09:00,214
28-09-2024,09:00 - 09:05,211
28-09-2024,09:05 - 09:10,209
28-09-2024,09:10 - 09:15,207
28-09-2024,09:15 - 09:20,205
28-09-2024,09:20 - 09:25,203
28-09-2024,09:25 - 09:30,201
28-09-2024,09:30 - 09:35,199
28-09-2024,09:35 - 09:40,198
28-09-2024,09:40 - 09:45,197
28-09-2024,09:45 - 09:50,195
28-09-2024,09:50 - 09:55,192
28-09-2024,09:55 - 10:00,187
28-09-2024,10:00 - 10:05,181
28-09-2024,10:05 - 10:10,175
28-09-2024,10:10 - 10:15,170
28-09-2024,10:15 - 10:20,169
28-09-2024,10:20 - 10:25,171
28-09-2024,10:25 - 10:30,178
28-09-2024,10:30 - 10:35,186
28-09-2024,10:35 - 10:40,193
28-09-2024,10:40 - 10:45,195
28-09-2024,10:45 - 10:50,193
28-09-2024,10:50 - 10:55,189
28-09-2024,10:55 - 11:00,185
28-09-2024,11:00 - 11:05,182
28-09-2024,11:05 - 11:10,179
28-09-2024,11:10 - 11:15,178
28-09-2024,11:15 - 11:20,179
28-09-2024,11:20 - 11:25,180
28-09-2024,11:25 - 11:30,182
28-09-2024,11:30 - 11:35,185
28-09-2024,11:35 - 11:40,187
28-09-2024,11:40 - 11:45,190
28-09-2024,11:45 - 11:50,193
28-09-2024,11:50 - 11:55,195
28-09-2024,11:55 - 12:00,198
28-09-2024,12:00 - 12:05,203
28-09-2024,12:05 - 12:10,208
28-09-2024,12:10 - 12:15,212
28-09-2024,12:15 - 12:20,213
28-09-2024,12:20 - 12:25,212
28-09-2024,12:25 - 12:30,209
28-09-2024,12:30 - 12:35,205
28-09-2024,12:35 - 12:40,200
28-09-2024,12:40 - 12:45,197
28-09-2024,12:45 - 12:50,208
28-09-2024,12:50 - 12:55,224
28-09-2024,12:55 - 13:00,226
28-09-2024,13:00 - 13:05,219
28-09-2024,13:05 - 13:10,213
28-09-2024,13:10 - 13:15,209
28-09-2024,13:15 - 13:20,208
28-09-2024,13:20 - 13:25,211
28-09-2024,13:25 - 13:30,220
28-09-2024,13:30 - 13:35,231
28-09-2024,13:35 - 13:40,239
28-09-2024,13:40 - 13:45,231
28-09-2024,13:45 - 13:50,213
28-09-2024,13:50 - 13:55,197
28-09-2024,13:55 - 14:00,191
28-09-2024,14:00 - 14:05,196
28-09-2024,14:05 - 14:10,206
28-09-2024,14:10 - 14:15,216
28-09-2024,14:15 - 14:20,219
28-09-2024,14:20 - 14:25,213
28-09-2024,14:25 - 14:30,201
28-09-2024,14:30 - 14:35,191
28-09-2024,14:35 - 14:40,190
28-09-2024,14:40 - 14:45,198
28-09-2024,14:45 - 14:50,205
28-09-2024,14:50 - 14:55,199
28-09-2024,14:55 - 15:00,187
29-09-2024,06:00 - 06:05,162
29-09-2024,06:05 - 06:10,154
29-09-2024,06:10 - 06:15,140
29-09-2024,06:15 - 06:20,130
29-09-2024,06:20 - 06:25,133
29-09-2024,06:25 - 06:30,152
29-09-2024,06:30 - 06:35,184
29-09-2024,06:35 - 06:40,211
29-09-2024,06:40 - 06:45,218
29-09-2024,06:45 - 06:50,203
29-09-2024,06:50 - 06:55,185
29-09-2024,06:55 - 07:00,175
29-09-2024,07:00 - 07:05,182
29-09-2024,07:05 - 07:10,207
29-09-2024,07:10 - 07:15,231
29-09-2024,07:15 - 07:20,246
29-09-2024,07:20 - 07:25,249
29-09-2024,07:25 - 07:30,254
29-09-2024,07:30 - 07:35,259
29-09-2024,07:35 - 07:40,261
29-09-2024,07:40 - 07:45,256
29-09-2024,07:45 - 07:50,243
29-09-2024,07:50 - 07:55,232
29-09-2024,07:55 - 08:00,227
29-09-2024,08:00 - 08:05,229
29-09-2024,08:05 - 08:10,234
29-09-2024,08:10 - 08:15,236
29-09-2024,08:15 - 08:20,234
29-09-2024,08:20 - 08:25,233
29-09-2024,08:25 - 08:30,237
29-09-2024,08:30 - 08:35,242
29-09-2024,08:35 - 08:40,234
29-09-2024,08:40 - 08:45,213
29-09-2024,08:45 - 08:50,204
29-09-2024,08:50 - 08:55,208
29-09-2024,08:55 - 09:00,211
29-09-2024,09:00 - 09:05,208
29-09-2024,09:05 - 09:10,199
29-09-2024,09:10 - 09:15,192
29-09-2024,09:15 - 09:20,189
29-09-2024,09:20 - 09:25,187
29-09-2024,09:25 - 09:30,183
29-09-2024,09:30 - 09:35,181
29-09-2024,09:35 - 09:40,184
29-09-2024,09:40 - 09:45,189
29-09-2024,09:45 - 09:50,194
29-09-2024,09:50 - 09:55,196
29-09-2024,09:55 - 10:00,200
29-09-2024,10:00 - 10:05,206
29-09-2024,10:05 - 10:10,211
29-09-2024,10:10 - 10:15,213
29-09-2024,10:15 - 10:20,210
29-09-2024,10:20 - 10:25,204
29-09-2024,10:25 - 10:30,197
29-09-2024,10:30 - 10:35,193
29-09-2024,10:35 - 10:40,193
29-09-2024,10:40 - 10:45,196
29-09-2024,10:45 - 10:50,202
29-09-2024,10:50 - 10:55,208
29-09-2024,10:55 - 11:00,212
29-09-2024,11:00 - 11:05,215
29-09-2024,11:05 - 11:10,213
29-09-2024,11:10 - 11:15,206
29-09-2024,11:15 - 11:20,193
29-09-2024,11:20 - 11:25,184
29-09-2024,11:25 - 11:30,186
29-09-2024,11:30 - 11:35,203
29-09-2024,11:35 - 11:40,219
29-09-2024,11:40 - 11:45,216
29-09-2024,11:45 - 11:50,201
29-09-2024,11:50 - 11:55,191
29-09-2024,11:55 - 12:00,199
29-09-2024,12:00 - 12:05,218
29-09-2024,12:05 - 12:10,232
29-09-2024,12:10 - 12:15,233
29-09-2024,12:15 - 12:20,226
29-09-2024,12:20 - 12:25,218
29-09-2024,12:25 - 12:30,212
29-09-2024,12:30 - 12:35,212
29-09-2024,12:35 - 12:40,219
29-09-2024,12:40 - 12:45,235
29-09-2024,12:45 - 12:50,249
29-09-2024,12:50 - 12:55,254
29-09-2024,12:55 - 13:00,245
29-09-2024,13:00 - 13:05,231
29-09-2024,13:05 - 13:10,219
29-09-2024,13:10 - 13:15,219
29-09-2024,13:15 - 13:20,232
29-09-2024,13:20 - 13:25,246
29-09-2024,13:25 - 13:30,247
29-09-2024,13:30 - 13:35,236
29-09-2024,13:35 - 13:40,229
29-09-2024,13:40 - 13:45,234
29-09-2024,13:45 - 13:50,242
29-09-2024,13:50 - 13:55,238
29-09-2024,13:55 - 14:00,226
29-09-2024,14:00 - 14:05,216
29-09-2024,14:05 - 14:10,215
29-09-2024,14:10 - 14:15,220
29-09-2024,14:15 - 14:20,225
29-09-2024,14:20 - 14:25,228
29-09-2024,14:25 - 14:30,227
29-09-2024,14:30 - 14:35,222
29-09-2024,14:35 - 14:40,215
29-09-2024,14:40 - 14:45,209
29-09-2024,14:45 - 14:50,204
29-09-2024,14:50 - 14:55,201
29-09-2024,14:55 - 15:00,201
