date,time,Reconstructed_Total
20-09-2024,09:10 - 09:15,219
20-09-2024,09:15 - 09:20,214
20-09-2024,09:20 - 09:25,214
20-09-2024,09:25 - 09:30,220
20-09-2024,09:30 - 09:35,224
20-09-2024,09:35 - 09:40,215
20-09-2024,09:40 - 09:45,203
20-09-2024,09:45 - 09:50,206
20-09-2024,09:50 - 09:55,224
20-09-2024,09:55 - 10:00,247
20-09-2024,10:00 - 10:05,255
20-09-2024,10:05 - 10:10,242
20-09-2024,10:10 - 10:15,224
20-09-2024,10:15 - 10:20,214
20-09-2024,10:20 - 10:25,217
20-09-2024,10:25 - 10:30,225
20-09-2024,10:30 - 10:35,231
20-09-2024,10:35 - 10:40,229
20-09-2024,10:40 - 10:45,215
20-09-2024,10:45 - 10:50,200
20-09-2024,10:50 - 10:55,197
20-09-2024,10:55 - 11:00,207
20-09-2024,11:00 - 11:05,222
20-09-2024,11:05 - 11:10,235
20-09-2024,11:10 - 11:15,240
20-09-2024,11:15 - 11:20,235
20-09-2024,11:20 - 11:25,227
20-09-2024,11:25 - 11:30,219
20-09-2024,11:30 - 11:35,215
20-09-2024,11:35 - 11:40,215
20-09-2024,11:40 - 11:45,215
20-09-2024,11:45 - 11:50,214
20-09-2024,11:50 - 11:55,214
20-09-2024,11:55 - 12:00,220
20-09-2024,12:00 - 12:05,227
20-09-2024,12:05 - 12:10,227
20-09-2024,12:10 - 12:15,224
20-09-2024,12:15 - 12:20,226
20-09-2024,12:20 - 12:25,235
20-09-2024,12:25 - 12:30,238
20-09-2024,12:30 - 12:35,230
20-09-2024,12:35 - 12:40,224
20-09-2024,12:40 - 12:45,226
20-09-2024,12:45 - 12:50,227
20-09-2024,12:50 - 12:55,222
20-09-2024,12:55 - 13:00,213
20-09-2024,13:00 - 13:05,203
20-09-2024,13:05 - 13:10,198
20-09-2024,13:10 - 13:15,195
20-09-2024,13:15 - 13:20,189
20-09-2024,13:20 - 13:25,177
20-09-2024,13:25 - 13:30,159
20-09-2024,13:30 - 13:35,145
20-09-2024,13:35 - 13:40,142
20-09-2024,13:40 - 13:45,152
20-09-2024,13:45 - 13:50,169
20-09-2024,13:50 - 13:55,184
20-09-2024,13:55 - 14:00,193
20-09-2024,14:00 - 14:05,196
20-09-2024,14:05 - 14:10,196
20-09-2024,14:10 - 14:15,196
20-09-2024,14:15 - 14:20,194
20-09-2024,14:20 - 14:25,189
20-09-2024,14:25 - 14:30,179
